,Month,Breakdown,Country,Number of Tourists
1329,01/09/2019,Oceania,Unknown,3952
1330,01/09/2020,Oceania,Unknown,66
1474,01/04/2010,the Middle East,Unknown,1226
1475,01/04/2011,the Middle East,Unknown,1073
1476,01/04/2012,the Middle East,Unknown,1602
1477,01/04/2013,the Middle East,Unknown,2434
1478,01/04/2014,the Middle East,Unknown,2918
1479,01/04/2015,the Middle East,Unknown,3408
1480,01/04/2016,the Middle East,Unknown,4415
1481,01/04/2017,the Middle East,Unknown,4231
1482,01/04/2018,the Middle East,Unknown,4599
1483,01/04/2019,the Middle East,Unknown,6443
1484,01/04/2020,the Middle East,Unknown,1
1485,01/08/2010,the Middle East,Unknown,421
1486,01/08/2011,the Middle East,Unknown,809
1487,01/08/2012,the Middle East,Unknown,2712
1488,01/08/2013,the Middle East,Unknown,5573
1489,01/08/2014,the Middle East,Unknown,5803
1490,01/08/2015,the Middle East,Unknown,5215
1491,01/08/2016,the Middle East,Unknown,6532
1492,01/08/2017,the Middle East,Unknown,7547
1493,01/08/2018,the Middle East,Unknown,7417
1494,01/08/2019,the Middle East,Unknown,7990
1495,01/08/2020,the Middle East,Unknown,2068
1496,01/12/2010,the Middle East,Unknown,916
1497,01/12/2011,the Middle East,Unknown,1153
1498,01/12/2012,the Middle East,Unknown,1593
1499,01/12/2013,the Middle East,Unknown,2158
1500,01/12/2014,the Middle East,Unknown,2880
1501,01/12/2015,the Middle East,Unknown,3969
1502,01/12/2016,the Middle East,Unknown,3265
1503,01/12/2017,the Middle East,Unknown,3398
1504,01/12/2018,the Middle East,Unknown,4517
1505,01/12/2019,the Middle East,Unknown,4884
1506,01/12/2020,the Middle East,Unknown,4557
1507,01/02/2010,the Middle East,Unknown,1038
1508,01/02/2011,the Middle East,Unknown,1139
1509,01/02/2012,the Middle East,Unknown,1242
1510,01/02/2013,the Middle East,Unknown,1949
1511,01/02/2014,the Middle East,Unknown,2767
1512,01/02/2015,the Middle East,Unknown,2510
1513,01/02/2016,the Middle East,Unknown,2734
1514,01/02/2017,the Middle East,Unknown,3381
1515,01/02/2018,the Middle East,Unknown,2723
1516,01/02/2019,the Middle East,Unknown,3651
1517,01/02/2020,the Middle East,Unknown,4793
1518,01/01/2010,the Middle East,Unknown,559
1519,01/01/2011,the Middle East,Unknown,669
1520,01/01/2012,the Middle East,Unknown,1303
1521,01/01/2013,the Middle East,Unknown,2312
1522,01/01/2014,the Middle East,Unknown,2809
1523,01/01/2015,the Middle East,Unknown,3885
1524,01/01/2016,the Middle East,Unknown,4339
1525,01/01/2017,the Middle East,Unknown,3969
1526,01/01/2018,the Middle East,Unknown,5567
1527,01/01/2019,the Middle East,Unknown,4200
1528,01/01/2020,the Middle East,Unknown,7297
1529,01/07/2010,the Middle East,Unknown,1879
1530,01/07/2011,the Middle East,Unknown,2383
1531,01/07/2012,the Middle East,Unknown,2107
1532,01/07/2013,the Middle East,Unknown,1220
1533,01/07/2014,the Middle East,Unknown,2240
1534,01/07/2015,the Middle East,Unknown,4782
1535,01/07/2016,the Middle East,Unknown,7242
1536,01/07/2017,the Middle East,Unknown,6593
1537,01/07/2018,the Middle East,Unknown,6693
1538,01/07/2019,the Middle East,Unknown,7105
1539,01/07/2020,the Middle East,Unknown,247
1540,01/06/2010,the Middle East,Unknown,685
1541,01/06/2011,the Middle East,Unknown,1208
1542,01/06/2012,the Middle East,Unknown,2533
1543,01/06/2013,the Middle East,Unknown,4500
1544,01/06/2014,the Middle East,Unknown,3776
1545,01/06/2015,the Middle East,Unknown,2341
1546,01/06/2016,the Middle East,Unknown,725
1547,01/06/2017,the Middle East,Unknown,2603
1548,01/06/2018,the Middle East,Unknown,4566
1549,01/06/2019,the Middle East,Unknown,7685
1550,01/06/2020,the Middle East,Unknown,0
1551,01/03/2010,the Middle East,Unknown,601
1552,01/03/2011,the Middle East,Unknown,635
1553,01/03/2012,the Middle East,Unknown,1799
1554,01/03/2013,the Middle East,Unknown,2404
1555,01/03/2014,the Middle East,Unknown,2809
1556,01/03/2015,the Middle East,Unknown,4120
1557,01/03/2016,the Middle East,Unknown,4338
1558,01/03/2017,the Middle East,Unknown,3976
1559,01/03/2018,the Middle East,Unknown,3608
1560,01/03/2019,the Middle East,Unknown,4959
1561,01/03/2020,the Middle East,Unknown,1346
1562,01/05/2010,the Middle East,Unknown,593
1563,01/05/2011,the Middle East,Unknown,836
1564,01/05/2012,the Middle East,Unknown,1233
1565,01/05/2013,the Middle East,Unknown,1772
1566,01/05/2014,the Middle East,Unknown,2707
1567,01/05/2015,the Middle East,Unknown,2740
1568,01/05/2016,the Middle East,Unknown,4608
1569,01/05/2017,the Middle East,Unknown,2725
1570,01/05/2018,the Middle East,Unknown,2067
1571,01/05/2019,the Middle East,Unknown,741
1572,01/05/2020,the Middle East,Unknown,0
1573,01/11/2010,the Middle East,Unknown,1620
1574,01/11/2011,the Middle East,Unknown,2102
1575,01/11/2012,the Middle East,Unknown,1399
1576,01/11/2013,the Middle East,Unknown,1569
1577,01/11/2014,the Middle East,Unknown,1754
1578,01/11/2015,the Middle East,Unknown,2180
1579,01/11/2016,the Middle East,Unknown,3930
1580,01/11/2017,the Middle East,Unknown,3055
1581,01/11/2018,the Middle East,Unknown,3429
1582,01/11/2019,the Middle East,Unknown,4255
1583,01/11/2020,the Middle East,Unknown,2530
1584,01/10/2010,the Middle East,Unknown,641
1585,01/10/2011,the Middle East,Unknown,826
1586,01/10/2012,the Middle East,Unknown,2640
1587,01/10/2013,the Middle East,Unknown,3826
1588,01/10/2014,the Middle East,Unknown,3926
1589,01/10/2015,the Middle East,Unknown,2152
1590,01/10/2016,the Middle East,Unknown,2398
1591,01/10/2017,the Middle East,Unknown,2286
1592,01/10/2018,the Middle East,Unknown,2982
1593,01/10/2019,the Middle East,Unknown,3477
1594,01/10/2020,the Middle East,Unknown,1822
1595,01/09/2010,the Middle East,Unknown,1450
1596,01/09/2011,the Middle East,Unknown,1737
1597,01/09/2012,the Middle East,Unknown,1680
1598,01/09/2013,the Middle East,Unknown,2333
1599,01/09/2014,the Middle East,Unknown,2812
1600,01/09/2015,the Middle East,Unknown,4674
1601,01/09/2016,the Middle East,Unknown,6804
1602,01/09/2017,the Middle East,Unknown,5429
1603,01/09/2018,the Middle East,Unknown,3946
1604,01/09/2019,the Middle East,Unknown,4613
1605,01/09/2020,the Middle East,Unknown,1627
1870,01/04/2014,UN passport holders and others,Unknown,23
1871,01/04/2015,UN passport holders and others,Unknown,32
1872,01/04/2016,UN passport holders and others,Unknown,32
1873,01/04/2017,UN passport holders and others,Unknown,23
1874,01/04/2018,UN passport holders and others,Unknown,15
1875,01/04/2019,UN passport holders and others,Unknown,24
1876,01/04/2020,UN passport holders and others,Unknown,0
1877,01/08/2014,UN passport holders and others,Unknown,24
1878,01/08/2015,UN passport holders and others,Unknown,38
1879,01/08/2016,UN passport holders and others,Unknown,31
1880,01/08/2017,UN passport holders and others,Unknown,28
1881,01/08/2018,UN passport holders and others,Unknown,17
1882,01/08/2019,UN passport holders and others,Unknown,23
1883,01/08/2020,UN passport holders and others,Unknown,0
1884,01/12/2013,UN passport holders and others,Unknown,43
1885,01/12/2014,UN passport holders and others,Unknown,24
1886,01/12/2015,UN passport holders and others,Unknown,34
1887,01/12/2016,UN passport holders and others,Unknown,42
1888,01/12/2017,UN passport holders and others,Unknown,21
1889,01/12/2018,UN passport holders and others,Unknown,18
1890,01/12/2019,UN passport holders and others,Unknown,29
1891,01/12/2020,UN passport holders and others,Unknown,16
1892,01/02/2014,UN passport holders and others,Unknown,20
1893,01/02/2015,UN passport holders and others,Unknown,28
1894,01/02/2016,UN passport holders and others,Unknown,49
1895,01/02/2017,UN passport holders and others,Unknown,15
1896,01/02/2018,UN passport holders and others,Unknown,17
1897,01/02/2019,UN passport holders and others,Unknown,17
1898,01/02/2020,UN passport holders and others,Unknown,21
1899,01/01/2014,UN passport holders and others,Unknown,32
1900,01/01/2015,UN passport holders and others,Unknown,38
1901,01/01/2016,UN passport holders and others,Unknown,30
1902,01/01/2017,UN passport holders and others,Unknown,36
1903,01/01/2018,UN passport holders and others,Unknown,18
1904,01/01/2019,UN passport holders and others,Unknown,16
1905,01/01/2020,UN passport holders and others,Unknown,23
1906,01/07/2014,UN passport holders and others,Unknown,6
1907,01/07/2015,UN passport holders and others,Unknown,16
1908,01/07/2016,UN passport holders and others,Unknown,29
1909,01/07/2017,UN passport holders and others,Unknown,20
1910,01/07/2018,UN passport holders and others,Unknown,15
1911,01/07/2019,UN passport holders and others,Unknown,35
1912,01/07/2020,UN passport holders and others,Unknown,0
1913,01/06/2014,UN passport holders and others,Unknown,21
1914,01/06/2015,UN passport holders and others,Unknown,15
1915,01/06/2016,UN passport holders and others,Unknown,9
1916,01/06/2017,UN passport holders and others,Unknown,4
1917,01/06/2018,UN passport holders and others,Unknown,13
1918,01/06/2019,UN passport holders and others,Unknown,35
1919,01/06/2020,UN passport holders and others,Unknown,0
1920,01/03/2014,UN passport holders and others,Unknown,42
1921,01/03/2015,UN passport holders and others,Unknown,23
1922,01/03/2016,UN passport holders and others,Unknown,28
1923,01/03/2017,UN passport holders and others,Unknown,19
1924,01/03/2018,UN passport holders and others,Unknown,21
1925,01/03/2019,UN passport holders and others,Unknown,22
1926,01/03/2020,UN passport holders and others,Unknown,7
1927,01/05/2014,UN passport holders and others,Unknown,44
1928,01/05/2015,UN passport holders and others,Unknown,31
1929,01/05/2016,UN passport holders and others,Unknown,35
1930,01/05/2017,UN passport holders and others,Unknown,8
1931,01/05/2018,UN passport holders and others,Unknown,10
1932,01/05/2019,UN passport holders and others,Unknown,18
1933,01/05/2020,UN passport holders and others,Unknown,0
1934,01/11/2013,UN passport holders and others,Unknown,22
1935,01/11/2014,UN passport holders and others,Unknown,34
1936,01/11/2015,UN passport holders and others,Unknown,27
1937,01/11/2016,UN passport holders and others,Unknown,32
1938,01/11/2017,UN passport holders and others,Unknown,17
1939,01/11/2018,UN passport holders and others,Unknown,20
1940,01/11/2019,UN passport holders and others,Unknown,42
1941,01/11/2020,UN passport holders and others,Unknown,18
1942,01/10/2013,UN passport holders and others,Unknown,35
1943,01/10/2014,UN passport holders and others,Unknown,30
1944,01/10/2015,UN passport holders and others,Unknown,29
1945,01/10/2016,UN passport holders and others,Unknown,24
1946,01/10/2017,UN passport holders and others,Unknown,16
1947,01/10/2018,UN passport holders and others,Unknown,8
1948,01/10/2019,UN passport holders and others,Unknown,23
1949,01/10/2020,UN passport holders and others,Unknown,8
1950,01/09/2013,UN passport holders and others,Unknown,23
1951,01/09/2014,UN passport holders and others,Unknown,27
1952,01/09/2015,UN passport holders and others,Unknown,22
1953,01/09/2016,UN passport holders and others,Unknown,34
1954,01/09/2017,UN passport holders and others,Unknown,30
1955,01/09/2018,UN passport holders and others,Unknown,12
1956,01/09/2019,UN passport holders and others,Unknown,32
1957,01/09/2020,UN passport holders and others,Unknown,3
396,01/04/2020,Oceania,Australia,0
397,01/08/2020,Oceania,Australia,49
398,01/12/2020,Oceania,Australia,607
399,01/02/2020,Oceania,Australia,2040
400,01/07/2020,Oceania,Australia,17
401,01/06/2020,Oceania,Australia,0
402,01/03/2020,Oceania,Australia,1388
403,01/05/2020,Oceania,Australia,0
404,01/11/2020,Oceania,Australia,209
405,01/10/2020,Oceania,Australia,160
406,01/09/2020,Oceania,Australia,61
407,01/04/2010,Asia,China,7060
408,01/04/2011,Asia,China,10165
409,01/04/2012,Asia,China,10523
410,01/04/2013,Asia,China,20329
411,01/04/2014,Asia,China,24034
412,01/04/2015,Asia,China,26398
413,01/04/2016,Asia,China,24794
414,01/04/2017,Asia,China,20975
415,01/04/2018,Asia,China,15093
416,01/04/2019,Asia,China,18704
417,01/04/2020,Asia,China,0
418,01/08/2010,Asia,China,14998
419,01/08/2011,Asia,China,22827
420,01/08/2012,Asia,China,25138
421,01/08/2013,Asia,China,35814
422,01/08/2014,Asia,China,37895
423,01/08/2015,Asia,China,40850
424,01/08/2016,Asia,China,36217
425,01/08/2017,Asia,China,33743
426,01/08/2018,Asia,China,33472
427,01/08/2019,Asia,China,32757
428,01/08/2020,Asia,China,34
429,01/12/2010,Asia,China,6500
430,01/12/2011,Asia,China,12495
431,01/12/2012,Asia,China,15683
432,01/12/2013,Asia,China,20760
433,01/12/2014,Asia,China,18231
434,01/12/2015,Asia,China,16255
435,01/12/2016,Asia,China,16249
436,01/12/2017,Asia,China,19918
437,01/12/2018,Asia,China,16740
438,01/12/2019,Asia,China,16154
439,01/12/2020,Asia,China,171
440,01/02/2010,Asia,China,13345
441,01/02/2011,Asia,China,18759
442,01/02/2012,Asia,China,12237
443,01/02/2013,Asia,China,33592
444,01/02/2014,Asia,China,33213
445,01/02/2015,Asia,China,43349
446,01/02/2016,Asia,China,34330
447,01/02/2017,Asia,China,24263
448,01/02/2018,Asia,China,33506
449,01/02/2019,Asia,China,31285
450,01/02/2020,Asia,China,1647
451,01/01/2010,Asia,China,6069
452,01/01/2011,Asia,China,12367
453,01/01/2012,Asia,China,28008
454,01/01/2013,Asia,China,19208
455,01/01/2014,Asia,China,30612
456,01/01/2015,Asia,China,20469
457,01/01/2016,Asia,China,23241
458,01/01/2017,Asia,China,30669
459,01/01/2018,Asia,China,25830
460,01/01/2019,Asia,China,25804
461,01/01/2020,Asia,China,31744
462,01/07/2010,Asia,China,12449
463,01/07/2011,Asia,China,23176
464,01/07/2012,Asia,China,27653
465,01/07/2013,Asia,China,36551
466,01/07/2014,Asia,China,43269
467,01/07/2015,Asia,China,41527
468,01/07/2016,Asia,China,36456
469,01/07/2017,Asia,China,34276
470,01/07/2018,Asia,China,33227
471,01/07/2019,Asia,China,32569
472,01/07/2020,Asia,China,16
473,01/06/2010,Asia,China,8615
474,01/06/2011,Asia,China,15410
475,01/06/2012,Asia,China,17809
476,01/06/2013,Asia,China,28007
477,01/06/2014,Asia,China,30000
478,01/06/2015,Asia,China,31965
479,01/06/2016,Asia,China,28653
480,01/06/2017,Asia,China,24160
481,01/06/2018,Asia,China,22853
482,01/06/2019,Asia,China,23983
483,01/06/2020,Asia,China,0
484,01/03/2010,Asia,China,6144
485,01/03/2011,Asia,China,8968
486,01/03/2012,Asia,China,6417
487,01/03/2013,Asia,China,17770
488,01/03/2014,Asia,China,23705
489,01/03/2015,Asia,China,25069
490,01/03/2016,Asia,China,21741
491,01/03/2017,Asia,China,18203
492,01/03/2018,Asia,China,13203
493,01/03/2019,Asia,China,19479
494,01/03/2020,Asia,China,498
495,01/05/2010,Asia,China,8964
496,01/05/2011,Asia,China,14889
497,01/05/2012,Asia,China,16154
498,01/05/2013,Asia,China,23613
499,01/05/2014,Asia,China,29685
500,01/05/2015,Asia,China,30864
501,01/05/2016,Asia,China,25005
502,01/05/2017,Asia,China,23225
503,01/05/2018,Asia,China,16927
504,01/05/2019,Asia,China,21010
505,01/05/2020,Asia,China,0
506,01/11/2010,Asia,China,8313
507,01/11/2011,Asia,China,16897
508,01/11/2012,Asia,China,18450
509,01/11/2013,Asia,China,26008
510,01/11/2014,Asia,China,24729
511,01/11/2015,Asia,China,19856
512,01/11/2016,Asia,China,18954
513,01/11/2017,Asia,China,21195
514,01/11/2018,Asia,China,18465
515,01/11/2019,Asia,China,15600
516,01/11/2020,Asia,China,61
517,01/10/2010,Asia,China,13476
518,01/10/2011,Asia,China,22595
519,01/10/2012,Asia,China,26301
520,01/10/2013,Asia,China,35041
521,01/10/2014,Asia,China,33828
522,01/10/2015,Asia,China,30714
523,01/10/2016,Asia,China,29444
524,01/10/2017,Asia,China,28689
525,01/10/2018,Asia,China,25803
526,01/10/2019,Asia,China,21926
527,01/10/2020,Asia,China,41
528,01/09/2010,Asia,China,13028
529,01/09/2011,Asia,China,20107
530,01/09/2012,Asia,China,25178
531,01/09/2013,Asia,China,35026
532,01/09/2014,Asia,China,34425
533,01/09/2015,Asia,China,32198
534,01/09/2016,Asia,China,29242
535,01/09/2017,Asia,China,27214
536,01/09/2018,Asia,China,27997
537,01/09/2019,Asia,China,24758
538,01/09/2020,Asia,China,33
671,01/04/2010,Europe,France,5459
672,01/04/2011,Europe,France,6557
673,01/04/2012,Europe,France,6587
674,01/04/2013,Europe,France,6021
675,01/04/2014,Europe,France,5537
676,01/04/2015,Europe,France,4973
677,01/04/2016,Europe,France,4753
678,01/04/2017,Europe,France,4938
679,01/04/2018,Europe,France,5903
680,01/04/2019,Europe,France,7244
681,01/04/2020,Europe,France,0
682,01/08/2010,Europe,France,2257
683,01/08/2011,Europe,France,2588
684,01/08/2012,Europe,France,2785
685,01/08/2013,Europe,France,2692
686,01/08/2014,Europe,France,2437
687,01/08/2015,Europe,France,2162
688,01/08/2016,Europe,France,2322
689,01/08/2017,Europe,France,2695
690,01/08/2018,Europe,France,2714
691,01/08/2019,Europe,France,3173
692,01/08/2020,Europe,France,301
693,01/12/2010,Europe,France,6831
694,01/12/2011,Europe,France,7079
695,01/12/2012,Europe,France,5821
696,01/12/2013,Europe,France,6093
697,01/12/2014,Europe,France,5440
698,01/12/2015,Europe,France,5001
699,01/12/2016,Europe,France,4715
700,01/12/2017,Europe,France,5491
701,01/12/2018,Europe,France,6414
702,01/12/2019,Europe,France,6847
703,01/12/2020,Europe,France,3998
704,01/02/2010,Europe,France,8464
705,01/02/2011,Europe,France,9286
706,01/02/2012,Europe,France,9742
707,01/02/2013,Europe,France,7666
708,01/02/2014,Europe,France,7943
709,01/02/2015,Europe,France,6690
710,01/02/2016,Europe,France,6500
711,01/02/2017,Europe,France,6785
712,01/02/2018,Europe,France,8058
713,01/02/2019,Europe,France,10730
714,01/02/2020,Europe,France,10787
715,01/01/2010,Europe,France,6899
716,01/01/2011,Europe,France,7606
717,01/01/2012,Europe,France,7578
718,01/01/2013,Europe,France,6688
719,01/01/2014,Europe,France,6395
720,01/01/2015,Europe,France,5694
721,01/01/2016,Europe,France,5127
722,01/01/2017,Europe,France,4868
723,01/01/2018,Europe,France,6335
724,01/01/2019,Europe,France,7153
725,01/01/2020,Europe,France,6955
726,01/07/2010,Europe,France,1464
727,01/07/2011,Europe,France,1550
728,01/07/2012,Europe,France,1632
729,01/07/2013,Europe,France,1501
730,01/07/2014,Europe,France,1337
731,01/07/2015,Europe,France,1081
732,01/07/2016,Europe,France,1200
733,01/07/2017,Europe,France,1504
734,01/07/2018,Europe,France,2043
735,01/07/2019,Europe,France,2242
736,01/07/2020,Europe,France,58
737,01/06/2010,Europe,France,1155
738,01/06/2011,Europe,France,1758
739,01/06/2012,Europe,France,1251
740,01/06/2013,Europe,France,1081
741,01/06/2014,Europe,France,1203
742,01/06/2015,Europe,France,749
743,01/06/2016,Europe,France,778
744,01/06/2017,Europe,France,701
745,01/06/2018,Europe,France,1057
746,01/06/2019,Europe,France,1439
747,01/06/2020,Europe,France,0
748,01/03/2010,Europe,France,7190
749,01/03/2011,Europe,France,8646
750,01/03/2012,Europe,France,7875
751,01/03/2013,Europe,France,7990
752,01/03/2014,Europe,France,7602
753,01/03/2015,Europe,France,5272
754,01/03/2016,Europe,France,4798
755,01/03/2017,Europe,France,5192
756,01/03/2018,Europe,France,6452
757,01/03/2019,Europe,France,8809
758,01/03/2020,Europe,France,4042
759,01/05/2010,Europe,France,2920
760,01/05/2011,Europe,France,2842
761,01/05/2012,Europe,France,2705
762,01/05/2013,Europe,France,3540
763,01/05/2014,Europe,France,3290
764,01/05/2015,Europe,France,2815
765,01/05/2016,Europe,France,2286
766,01/05/2017,Europe,France,2161
767,01/05/2018,Europe,France,2555
768,01/05/2019,Europe,France,2008
769,01/05/2020,Europe,France,1
770,01/11/2010,Europe,France,5930
771,01/11/2011,Europe,France,5258
772,01/11/2012,Europe,France,4942
773,01/11/2013,Europe,France,4632
774,01/11/2014,Europe,France,3516
775,01/11/2015,Europe,France,2846
776,01/11/2016,Europe,France,2678
777,01/11/2017,Europe,France,3345
778,01/11/2018,Europe,France,3349
779,01/11/2019,Europe,France,4229
780,01/11/2020,Europe,France,517
781,01/10/2010,Europe,France,4159
782,01/10/2011,Europe,France,4355
783,01/10/2012,Europe,France,3815
784,01/10/2013,Europe,France,4388
785,01/10/2014,Europe,France,4001
786,01/10/2015,Europe,France,3077
787,01/10/2016,Europe,France,3565
788,01/10/2017,Europe,France,3170
789,01/10/2018,Europe,France,3743
790,01/10/2019,Europe,France,3940
791,01/10/2020,Europe,France,1093
792,01/09/2010,Europe,France,2061
793,01/09/2011,Europe,France,2169
794,01/09/2012,Europe,France,2042
795,01/09/2013,Europe,France,2036
796,01/09/2014,Europe,France,1955
797,01/09/2015,Europe,France,1664
798,01/09/2016,Europe,France,1765
799,01/09/2017,Europe,France,1515
800,01/09/2018,Europe,France,1853
801,01/09/2019,Europe,France,1924
802,01/09/2020,Europe,France,279
803,01/04/2010,Europe,Germany,5317
804,01/04/2011,Europe,Germany,9389
805,01/04/2012,Europe,Germany,10145
806,01/04/2013,Europe,Germany,8303
807,01/04/2014,Europe,Germany,10273
808,01/04/2015,Europe,Germany,8388
809,01/04/2016,Europe,Germany,8810
810,01/04/2017,Europe,Germany,11172
811,01/04/2018,Europe,Germany,9070
812,01/04/2019,Europe,Germany,17583
813,01/04/2020,Europe,Germany,0
814,01/08/2010,Europe,Germany,4943
815,01/08/2011,Europe,Germany,5918
816,01/08/2012,Europe,Germany,6485
817,01/08/2013,Europe,Germany,5930
818,01/08/2014,Europe,Germany,7293
819,01/08/2015,Europe,Germany,7698
820,01/08/2016,Europe,Germany,6869
821,01/08/2017,Europe,Germany,6916
822,01/08/2018,Europe,Germany,6382
823,01/08/2019,Europe,Germany,7242
824,01/08/2020,Europe,Germany,306
825,01/12/2010,Europe,Germany,6225
826,01/12/2011,Europe,Germany,7544
827,01/12/2012,Europe,Germany,7075
828,01/12/2013,Europe,Germany,7655
829,01/12/2014,Europe,Germany,7924
830,01/12/2015,Europe,Germany,9640
831,01/12/2016,Europe,Germany,7938
832,01/12/2017,Europe,Germany,9042
833,01/12/2018,Europe,Germany,10872
834,01/12/2019,Europe,Germany,11393
835,01/12/2020,Europe,Germany,4363
836,01/02/2010,Europe,Germany,6602
837,01/02/2011,Europe,Germany,6874
838,01/02/2012,Europe,Germany,8591
839,01/02/2013,Europe,Germany,7755
840,01/02/2014,Europe,Germany,8050
841,01/02/2015,Europe,Germany,8879
842,01/02/2016,Europe,Germany,9247
843,01/02/2017,Europe,Germany,8874
844,01/02/2018,Europe,Germany,9785
845,01/02/2019,Europe,Germany,11140
846,01/02/2020,Europe,Germany,11698
847,01/01/2010,Europe,Germany,5890
848,01/01/2011,Europe,Germany,6109
849,01/01/2012,Europe,Germany,7532
850,01/01/2013,Europe,Germany,6926
851,01/01/2014,Europe,Germany,6527
852,01/01/2015,Europe,Germany,7093
853,01/01/2016,Europe,Germany,7837
854,01/01/2017,Europe,Germany,7803
855,01/01/2018,Europe,Germany,8329
856,01/01/2019,Europe,Germany,9819
857,01/01/2020,Europe,Germany,9859
858,01/07/2010,Europe,Germany,4402
859,01/07/2011,Europe,Germany,5034
860,01/07/2012,Europe,Germany,6199
861,01/07/2013,Europe,Germany,5418
862,01/07/2014,Europe,Germany,5371
863,01/07/2015,Europe,Germany,5859
864,01/07/2016,Europe,Germany,6008
865,01/07/2017,Europe,Germany,6830
866,01/07/2018,Europe,Germany,6932
867,01/07/2019,Europe,Germany,8266
868,01/07/2020,Europe,Germany,133
869,01/06/2010,Europe,Germany,3748
870,01/06/2011,Europe,Germany,5276
871,01/06/2012,Europe,Germany,4782
872,01/06/2013,Europe,Germany,4421
873,01/06/2014,Europe,Germany,5416
874,01/06/2015,Europe,Germany,4927
875,01/06/2016,Europe,Germany,4617
876,01/06/2017,Europe,Germany,6885
877,01/06/2018,Europe,Germany,5283
878,01/06/2019,Europe,Germany,6830
879,01/06/2020,Europe,Germany,0
880,01/03/2010,Europe,Germany,8554
881,01/03/2011,Europe,Germany,8906
882,01/03/2012,Europe,Germany,10232
883,01/03/2013,Europe,Germany,11001
884,01/03/2014,Europe,Germany,9973
885,01/03/2015,Europe,Germany,12203
886,01/03/2016,Europe,Germany,13268
887,01/03/2017,Europe,Germany,10216
888,01/03/2018,Europe,Germany,14692
889,01/03/2019,Europe,Germany,16320
890,01/03/2020,Europe,Germany,6671
891,01/05/2010,Europe,Germany,7634
892,01/05/2011,Europe,Germany,7467
893,01/05/2012,Europe,Germany,9736
894,01/05/2013,Europe,Germany,8812
895,01/05/2014,Europe,Germany,8365
896,01/05/2015,Europe,Germany,10371
897,01/05/2016,Europe,Germany,10141
898,01/05/2017,Europe,Germany,8742
899,01/05/2018,Europe,Germany,10668
900,01/05/2019,Europe,Germany,7545
901,01/05/2020,Europe,Germany,11
902,01/11/2010,Europe,Germany,8444
903,01/11/2011,Europe,Germany,10058
904,01/11/2012,Europe,Germany,8729
905,01/11/2013,Europe,Germany,8869
906,01/11/2014,Europe,Germany,9483
907,01/11/2015,Europe,Germany,9682
908,01/11/2016,Europe,Germany,10759
909,01/11/2017,Europe,Germany,11829
910,01/11/2018,Europe,Germany,13043
911,01/11/2019,Europe,Germany,12816
912,01/11/2020,Europe,Germany,2083
913,01/10/2010,Europe,Germany,8937
914,01/10/2011,Europe,Germany,10986
915,01/10/2012,Europe,Germany,10597
916,01/10/2013,Europe,Germany,10360
917,01/10/2014,Europe,Germany,11490
918,01/10/2015,Europe,Germany,12252
919,01/10/2016,Europe,Germany,13061
920,01/10/2017,Europe,Germany,15007
921,01/10/2018,Europe,Germany,13364
922,01/10/2019,Europe,Germany,13625
923,01/10/2020,Europe,Germany,949
924,01/09/2010,Europe,Germany,6412
925,01/09/2011,Europe,Germany,6956
926,01/09/2012,Europe,Germany,8248
927,01/09/2013,Europe,Germany,8148
928,01/09/2014,Europe,Germany,8163
929,01/09/2015,Europe,Germany,8140
930,01/09/2016,Europe,Germany,7826
931,01/09/2017,Europe,Germany,8793
932,01/09/2018,Europe,Germany,9112
933,01/09/2019,Europe,Germany,8982
934,01/09/2020,Europe,Germany,362
935,01/04/2010,Asia,India,1802
936,01/04/2011,Asia,India,2109
937,01/04/2012,Asia,India,1877
938,01/04/2013,Asia,India,2521
939,01/04/2014,Asia,India,3622
940,01/04/2015,Asia,India,3750
941,01/04/2016,Asia,India,4619
942,01/04/2017,Asia,India,5362
943,01/04/2018,Asia,India,5588
944,01/04/2019,Asia,India,12823
945,01/04/2020,Asia,India,1
946,01/08/2010,Asia,India,1419
947,01/08/2011,Asia,India,1963
948,01/08/2012,Asia,India,2264
949,01/08/2013,Asia,India,2576
950,01/08/2014,Asia,India,3119
951,01/08/2015,Asia,India,3467
952,01/08/2016,Asia,India,4175
953,01/08/2017,Asia,India,6024
954,01/08/2018,Asia,India,4299
955,01/08/2019,Asia,India,11067
956,01/08/2020,Asia,India,115
957,01/12/2010,Asia,India,4209
958,01/12/2011,Asia,India,4122
959,01/12/2012,Asia,India,5522
960,01/12/2013,Asia,India,5202
961,01/12/2014,Asia,India,6042
962,01/12/2015,Asia,India,7663
963,01/12/2016,Asia,India,9691
964,01/12/2017,Asia,India,12647
965,01/12/2018,Asia,India,14660
966,01/12/2019,Asia,India,20983
967,01/12/2020,Asia,India,18637
968,01/02/2010,Asia,India,1594
969,01/02/2011,Asia,India,2078
970,01/02/2012,Asia,India,2219
971,01/02/2013,Asia,India,3493
972,01/02/2014,Asia,India,3596
973,01/02/2015,Asia,India,4235
974,01/02/2016,Asia,India,4650
975,01/02/2017,Asia,India,6105
976,01/02/2018,Asia,India,6038
977,01/02/2019,Asia,India,12584
978,01/02/2020,Asia,India,15521
979,01/01/2010,Asia,India,1742
980,01/01/2011,Asia,India,2786
981,01/01/2012,Asia,India,2303
982,01/01/2013,Asia,India,3483
983,01/01/2014,Asia,India,3426
984,01/01/2015,Asia,India,3922
