,Evolution Group,Number,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type
335,Spoink,325,Spoink,330,60,25,35,70,80,60,Spoink,Grumpig,32,,Level
336,Grumpig,326,Grumpig,470,80,45,65,90,110,80,,,,,
337,Spinda,327,Spinda,360,60,60,60,60,60,60,,,,,
338,Trapinch,328,Trapinch,290,45,100,45,45,45,10,Trapinch,Vibrava,35,,Level
339,Trapinch,329,Vibrava,340,50,70,50,50,50,70,Vibrava,Flygon,45,,Level
340,Trapinch,330,Flygon,520,80,100,80,80,80,100,,,,,
341,Cacnea,331,Cacnea,335,50,85,40,85,40,35,Cacnea,Cacturne,32,,Level
342,Cacturne,332,Cacturne,475,70,115,60,115,60,55,,,,,
343,Swablu,333,Swablu,310,45,40,60,40,75,50,Swablu,Altaria,35,,Level
344,Altaria,334,Altaria,490,75,70,90,70,105,80,,,,,
345,Zangoose,335,Zangoose,458,73,115,60,60,60,90,,,,,
346,Seviper,336,Seviper,458,73,100,60,100,60,65,,,,,
347,Lunatone,337,Lunatone,440,70,55,65,95,85,70,,,,,
348,Solrock,338,Solrock,440,70,95,85,55,65,70,,,,,
349,Barboach,339,Barboach,288,50,48,43,46,41,60,Barboach,Whiscash,30,,Level
350,Whiscash,340,Whiscash,468,110,78,73,76,71,60,,,,,
351,Corphish,341,Corphish,308,43,80,65,50,35,35,Corphish,Crawdaunt,30,,Level
352,Crawdaunt,342,Crawdaunt,468,63,120,85,90,55,55,,,,,
353,Baltoy,343,Baltoy,300,40,40,55,40,70,55,Baltoy,Claydol,36,,Level
354,Claydol,344,Claydol,500,60,70,105,70,120,75,,,,,
355,Lileep,345,Lileep,355,66,41,77,61,87,23,Lileep,Cradily,40,,Level
356,Cradily,346,Cradily,495,86,81,97,81,107,43,,,,,
357,Anorith,347,Anorith,355,45,95,50,40,50,75,Anorith,Armaldo,40,,Level
358,Armaldo,348,Armaldo,495,75,125,100,70,80,45,,,,,
359,Feebas,349,Feebas,200,20,15,20,10,55,80,Feebas,Milotic,,Beauty,Other
360,Milotic,350,Milotic,540,95,60,79,100,125,81,,,,,
361,Castform,351,Castform,420,70,70,70,70,70,70,,,,,
362,Kecleon,352,Kecleon,440,60,90,70,60,120,40,,,,,
363,Shuppet,353,Shuppet,295,44,75,35,63,33,45,Shuppet,Banette,37,,Level
364,Banette,354,Banette,455,64,115,65,83,63,65,,,,,
365,Duskull,355,Duskull,295,20,40,90,30,90,25,Duskull,Dusclops,37,,Level
366,Dusclops,356,Dusclops,455,40,70,130,60,130,25,,,,,
367,Tropius,357,Tropius,460,99,68,83,72,87,51,,,,,
368,Chimecho,358,Chimecho,425,65,50,70,95,80,65,,,,,
369,Absol,359,Absol,465,65,130,60,75,60,75,,,,,
370,Wynaut,360,Wynaut,260,95,23,48,23,48,23,Wynaut,Wobbuffet,15,,Level
371,Snorunt,361,Snorunt,300,50,50,50,50,50,50,Snorunt,Glalie,42,,Level
372,Snorunt,361,Snorunt,300,50,50,50,50,50,50,Snorunt,Froslass,,Dawn Stone (Female),Stone
373,Glalie,362,Glalie,480,80,80,80,80,80,80,,,,,
374,Spheal,363,Spheal,290,70,40,50,55,50,25,Spheal,Sealeo,32,,Level
375,Spheal,364,Sealeo,410,90,60,70,75,70,45,Sealeo,Walrein,44,,Level
376,Spheal,365,Walrein,530,110,80,90,95,90,65,,,,,
377,Clamperl,366,Clamperl,345,35,64,85,74,55,32,,,,,
378,Huntail,367,Huntail,485,55,104,105,94,75,52,,,,,
379,Gorebyss,368,Gorebyss,485,55,84,105,114,75,52,,,,,
380,Relicanth,369,Relicanth,485,100,90,130,45,65,55,,,,,
381,Luvdisc,370,Luvdisc,330,43,30,55,40,65,97,,,,,
382,Bagon,371,Bagon,300,45,75,60,40,30,50,Bagon,Shelgon,30,,Level
383,Bagon,372,Shelgon,420,65,95,100,60,50,50,Shelgon,Salamence,50,,Level
384,Bagon,373,Salamence,600,95,135,80,110,80,100,,,,,
385,Beldum,374,Beldum,300,40,55,80,35,60,30,Beldum,Metang,20,,Level
386,Beldum,375,Metang,420,60,75,100,55,80,50,Metang,Metagross,45,,Level
387,Beldum,376,Metagross,600,80,135,130,95,90,70,,,,,
388,Regirock,377,Regirock,580,80,100,200,50,100,50,,,,,
389,Regice,378,Regice,580,80,50,100,100,200,50,,,,,
390,Registeel,379,Registeel,580,80,75,150,75,150,50,,,,,
391,Latias,380,Latias,600,80,80,90,110,130,110,,,,,
392,Latios,381,Latios,600,80,90,80,130,110,110,,,,,
393,Kyogre,382,Kyogre,670,100,100,90,150,140,90,,,,,
394,Groudon,383,Groudon,670,100,150,140,100,90,90,,,,,
395,Rayquaza,384,Rayquaza,680,105,150,90,150,90,95,,,,,
396,Jirachi,385,Jirachi,600,100,100,100,100,100,100,,,,,
397,Deoxys- Defense Forme,386,Deoxys- Defense Forme,600,50,70,160,70,160,90,,,,,
